type,properties,id,yolo_pred,Confidence,annotation_type,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 0.95016890764236406, ""confidence"": 0.99860000610351507 }",1173,3,0.9243,3.0,183.7636427644776,58.043380581400264,436393.3576100301,4461941.669482703,212.825239251323,58.71396242093647,0.91404,3,1
Feature,"{ ""height"": 2.3584415912628169, ""confidence"": 0.97109997272491411 }",1176,3,0.9032,,199.16179079516888,58.31842104655512,435769.50320328295,4460805.089627543,174.463003138845,54.42545689200283,0.9051199999999999,3,4
Feature,"{ ""height"": 3.6781067848205562, ""confidence"": 0.98830002546310403 }",1211,3,0.8992,2.0,231.03680711764684,66.09078392744593,435987.18639131525,4461147.266122641,184.02261103174015,56.618680339717436,0.9179999999999999,3,4
Feature,"{ ""height"": 1.0, ""confidence"": 0.98729997873306208 }",1251,3,0.9103,3.0,138.29644050727558,48.910920019414085,435614.1293858753,4460738.061078221,171.0033065818538,53.558478186873664,0.8983399999999999,3,4
Feature,"{ ""height"": 4.2134184837341309, ""confidence"": 0.99540001153945912 }",1270,3,0.8488,0.0,170.5126328779222,52.32309671309978,436829.7434926043,4460573.414662153,264.623551151043,67.0432117280078,0.90108,3,4
Feature,"{ ""height"": 1.0306024551391599, ""confidence"": 0.97500002384185702 }",1274,3,0.9318,0.0,214.8741569117824,66.52349064216345,436557.0117568941,4461545.9525534,189.72212818124214,57.10407204342475,0.91646,3,3
Feature,"{ ""height"": 8.5494050979614258, ""confidence"": 0.96100002527236905 }",1283,0,0.9237,3.0,639.4840797077084,115.47092036048332,435283.02329546603,4461835.297891039,428.78950716883946,88.94160480206699,0.8475999999999999,3,1
Feature,"{ ""height"": 0.70153945684432906, ""confidence"": 0.99470001459121704 }",1290,3,0.9135,3.0,164.7047321633757,51.3405010660864,437069.216745308,4461254.533669486,172.06889188659747,55.194007774057944,0.9080999999999999,3,3
Feature,"{ ""height"": 0.067289464175701003, ""confidence"": 0.98849999904632513 }",1303,3,0.9147,3.0,382.1410622857195,91.22399414579948,435610.32442268316,4461300.799184998,273.43362746515925,68.34027318645903,0.89498,3,4
Feature,"{ ""height"": 6.5797200202941895, ""confidence"": 0.96079999208450306 }",1376,3,0.9267,0.0,151.6557084428153,49.76653362271538,436755.8418389901,4461592.234943017,162.66967641651087,52.08886267140075,0.8791799999999999,3,3
